station-num,station-region,typhoon,date,wind-avg-speed,wind-avg-strength,wind-moment-speed,wind-moment-strength,daily-rain,type
3,板橋,莫拉克,2009/8/8,9.2,5,16.5,7,21,2
3,板橋,莫拉克,2009/8/7,9.8,5,21.5,9,31,2
3,板橋,莫拉克,2009/8/6,5,3,11.1,6,42,4
3,板橋,莫拉菲,2009/7/18,7.8,4,17,7,0,4
3,板橋,蓮花,2009/6/22,8.3,5,16.6,7,0.1,4
3,板橋,蓮花,2009/6/21,3.5,3,6.1,4,0.2,4
3,板橋,薔密,2008/9/29,10.3,5,19.2,8,27.5,2
3,板橋,薔密,2008/9/28,13.4,6,31.7,11,158.5,3
3,板橋,薔密,2008/9/27,5.8,4,13.1,6,111.5,4
3,板橋,哈格比,2008/9/23,7.7,4,16.6,7,0.4,4
3,板橋,哈格比,2008/9/22,7.2,4,14.9,7,0.7,4
3,板橋,辛樂克,2008/9/16,5.4,3,11.6,6,0,4
3,板橋,辛樂克,2008/9/15,9,5,19.3,8,62.5,4
3,板橋,辛樂克,2008/9/14,6.7,4,17.8,8,244.5,2
3,板橋,辛樂克,2008/9/13,7.4,4,16.6,7,193.5,2
3,板橋,辛樂克,2008/9/12,5.8,4,13.4,6,23.7,2
3,板橋,如麗,2008/8/21,4.3,3,7.6,4,0,4
3,板橋,如麗,2008/8/20,8,5,13.9,7,0,4
3,板橋,鳳凰,2008/7/29,2.5,2,4.3,3,1.5,4
3,板橋,鳳凰,2008/7/28,9.3,5,21.7,9,67.5,2
3,板橋,鳳凰,2008/7/27,7.9,4,16.9,7,18.4,4
3,板橋,卡玫基,2008/7/18,4.3,3,8.8,5,29,4
3,板橋,卡玫基,2008/7/17,6.4,4,11.1,6,33.5,4
3,板橋,米塔,2007/11/27,4.1,3,8.3,5,72,4
3,板橋,柯羅莎,2007/10/7,7.1,4,12.6,6,17.5,2
3,板橋,柯羅莎,2007/10/6,11.1,6,26.8,10,187.2,3
3,板橋,柯羅莎,2007/10/5,7.5,4,17.6,8,7.4,4
3,板橋,韋帕,2007/9/19,5.1,3,9.8,5,19.7,4
3,板橋,韋帕,2007/9/18,9.4,5,20.1,8,106.2,2
3,板橋,聖帕,2007/8/19,3.2,2,5.1,3,7,4
3,板橋,聖帕,2007/8/18,12.4,6,29.6,11,55.5,3
3,板橋,聖帕,2007/8/17,7.1,4,13.9,7,45.5,2
3,板橋,梧提,2007/8/9,6.6,4,11.9,6,2,4
3,板橋,帕布,2007/8/8,6.8,4,12.6,6,12.4,4
3,板橋,帕布,2007/8/7,5.5,4,12,6,45,4
3,板橋,珊珊,2006/9/16,5.5,4,13,6,31.5,4
3,板橋,珊珊,2006/9/15,5.5,4,10.7,5,24.5,4
3,板橋,桑美,2006/8/10,4.5,3,8.3,5,76,4
3,板橋,寶發,2006/8/9,8.2,5,13.9,7,16.5,4
3,板橋,寶發,2006/8/8,5.3,3,9.5,5,16.7,4
3,板橋,凱米,2006/7/26,3.1,2,5.3,3,9.9,4
3,板橋,凱米,2006/7/25,10.7,5,23.6,9,2.4,4
3,板橋,凱米,2006/7/24,7.7,4,15,7,11.5,4
3,板橋,碧利斯,2006/7/15,2.5,2,5.1,3,3.8,4
3,板橋,碧利斯,2006/7/14,5.3,3,10.7,5,10,4
3,板橋,碧利斯,2006/7/13,6.5,4,14.7,7,57.5,4
3,板橋,艾維尼,2006/7/9,6.8,4,13.6,6,8.8,4
3,板橋,艾維尼,2006/7/8,7,4,13.1,6,0,4
3,板橋,珍珠,2006/5/18,6.5,4,11.7,6,0.6,4
3,板橋,珍珠,2006/5/17,5.5,4,9.8,5,59.5,4
4,新屋,天鵝,2015/8/23,11,6,19.1,8,7.5,4
4,新屋,天鵝,2015/8/22,12.2,6,19.2,8,0,4
4,新屋,天鵝,2015/8/21,13.2,6,21.7,9,0,4
4,新屋,蘇迪勒,2015/8/9,6.1,4,10.1,5,1,4
4,新屋,蘇迪勒,2015/8/8,29.7,11,47,15,44,3
4,新屋,蘇迪勒,2015/8/7,19.3,8,32.8,12,5.5,3
4,新屋,昌鴻,2015/7/11,15.3,7,24,9,0,1
